N,P,K,temperature,ph,label
90,42,43,20.87974371,6.503,rice
85,58,41,21.77046169,7.038,rice
60,55,44,23.00445915,7.84,rice
74,35,40,26.49109635,6.98,rice
78,42,42,20.13017482,7.628,rice
69,37,42,23.05804872,7.073,rice
69,55,38,22.70883798,5.701,rice
94,53,40,20.27774362,5.719,rice
89,54,38,24.51588066,6.685,rice
68,58,38,23.22397386,6.336,rice
91,53,40,26.52723513,5.386,rice
90,46,42,23.97898217,7.503,rice
78,58,44,26.80079604,5.109,rice
93,56,36,24.01497622,6.984,rice
94,50,37,25.66585205,6.948,rice
60,48,39,24.28209415,7.042,rice
85,38,41,21.58711777,6.249,rice
91,35,39,23.79391957,6.971,rice
77,38,36,21.8652524,5.954,rice
88,35,40,23.57943626,5.854,rice
89,45,36,21.32504158,6.442,rice
76,40,43,25.15745531,5.07,rice
67,59,41,21.94766735,6.013,rice
83,41,43,21.0525355,6.254,rice
98,47,37,23.48381344,7.375,rice
66,53,41,25.0756354,7.779,rice
97,59,43,26.35927159,6.287,rice
97,50,41,24.52922681,7.071,rice
60,49,44,20.77576147,6.245,rice
84,51,35,22.30157427,6.043,rice
73,57,41,21.44653958,5.825,rice
92,35,40,22.17931888,6.357,rice
85,37,39,24.52783742,6.364,rice
98,53,38,20.26707606,5.015,rice
88,54,44,25.7354293,6.149,rice
95,55,42,26.79533926,5.951,rice
99,57,35,26.75754171,5.96,rice
95,39,36,23.86330467,5.561,rice
60,43,44,21.01944696,7.416,rice
63,44,41,24.17298839,5.583,rice
62,42,36,22.78133816,6.43,rice
64,45,43,25.62980105,5.535,rice
83,60,36,25.59704938,6.904,rice
82,40,40,23.83067496,6.271,rice
85,52,45,26.31355498,7.224,rice
91,35,38,24.8972823,6.134,rice
76,49,42,24.958779,5.206,rice
74,39,38,23.24113501,7.782,rice
79,43,39,21.66628296,7.063,rice
88,55,45,24.63544858,7.73,rice
60,36,43,23.43121862,5.286,rice
76,60,39,20.0454142,6.766,rice
93,56,42,23.85724032,7.383,rice
65,60,43,21.97199397,5.658,rice
95,52,36,26.22916897,5.543,rice
75,38,39,23.44676801,6.215,rice
74,54,38,25.65553461,7.12,rice
91,36,45,24.44345477,5.951,rice
71,46,40,20.2801937,7.237,rice
99,55,35,21.7238313,6.502,rice
72,40,38,20.41447029,7.592,rice
83,58,45,25.75528612,5.875,rice
93,58,38,20.61521424,6.932,rice
70,36,42,21.84106875,6.946,rice
76,47,42,20.08369642,5.739,rice
99,41,36,24.45802087,6.739,rice
99,54,37,21.14347496,5.595,rice
86,59,35,25.78720567,6.947,rice
69,46,41,23.64124821,5.012,rice
91,56,37,23.43191632,6.363,rice
61,52,41,24.97669518,6.88,rice
67,45,38,22.72791041,7.3,rice
79,42,37,24.87300744,6.588,rice
78,43,42,21.32376327,7.284,rice
75,54,36,26.29465461,7.024,rice
97,36,45,22.2286982,6.939,rice
67,47,44,26.73072391,7.868,rice
73,35,38,24.88921174,5.005,rice
77,36,37,26.88444878,6.136,rice
81,41,38,22.67846116,7.524,rice
68,57,43,26.08867875,5.707,rice
72,45,35,25.42977518,5.759,rice
61,53,43,26.40323239,6.35,rice
67,43,39,26.04371967,6.0,rice
67,58,39,25.2827223,5.454,rice
66,60,38,22.08576562,6.373,rice
82,43,38,23.28617173,5.106,rice
84,50,44,25.48591986,5.935,rice
81,53,42,23.67575393,5.178,rice
91,50,40,20.82477109,6.462,rice
93,53,38,26.92995077,7.069,rice
90,44,38,23.83509503,7.473,rice
81,45,35,26.52872817,6.158,rice
78,40,38,26.46428311,7.55,rice
60,51,36,22.69657794,6.028,rice
88,46,42,22.68319059,6.605,rice
93,47,37,21.53346343,6.5,rice
60,55,45,21.40865769,5.936,rice
78,35,44,26.54348085,7.073,rice
65,37,40,23.35905428,5.333,rice
71,54,16,22.61359953,5.75,maize
61,44,17,26.10018422,6.932,maize
80,43,16,23.55882094,6.658,maize
73,58,21,19.97215954,6.596,maize
61,38,20,18.47891261,5.97,maize
68,41,16,21.77689322,6.159,maize
93,41,17,25.6217169,6.048,maize
89,60,19,25.19192419,5.914,maize
76,44,17,20.41683147,5.855,maize
67,60,25,24.92162194,5.75,maize
70,44,19,23.31689124,5.853,maize
90,49,21,24.84016732,6.473,maize
62,52,16,22.27526694,6.967,maize
92,44,16,18.87751445,6.083,maize
66,54,21,25.19008683,5.919,maize
63,58,22,18.25405352,6.205,maize
70,47,17,24.612911800000006,6.601,maize
61,41,17,25.1420613,6.022,maize
66,53,19,23.09348056,6.034,maize
74,55,19,18.05033737,6.289,maize
77,57,21,24.9321581,6.551,maize
99,50,15,18.14710054,5.573,maize
74,56,22,18.28362235,6.829,maize
83,45,21,18.83344471,5.716,maize
100,48,16,25.71895816,5.55,maize
79,51,16,25.33797709,6.586,maize
94,39,18,23.89114571,5.893,maize
75,49,15,21.53574127,5.918,maize
78,48,22,23.08974909,5.589,maize
87,54,20,25.61707368,6.576,maize
87,35,25,21.44526922,6.178,maize
63,43,19,18.51816776,6.642,maize
84,57,25,22.53510514,6.489,maize
64,35,23,23.02038334,5.68,maize
60,46,22,24.89364635,6.625,maize
98,44,21,25.77175115,6.524,maize
75,56,18,19.39851734,5.696,maize
86,55,21,21.54156232,6.804,maize
98,35,18,23.79746068,6.253,maize
76,57,18,18.9802729,6.093,maize
99,56,17,24.10859207,6.234,maize
60,44,23,24.7947077,5.723,maize
74,48,17,21.63162756,6.431,maize
89,60,17,25.37548751,5.984,maize
69,51,23,22.21738222,6.802,maize
96,46,22,20.58314011,6.5,maize
61,60,15,24.87502824,6.266,maize
74,58,18,20.03728219,6.727,maize
74,43,23,25.95263264,6.325,maize
63,43,17,19.28889933,6.807,maize
99,36,20,20.57981887,6.671,maize
77,36,23,24.71417533,6.649,maize
87,60,23,20.27317074,6.439,maize
60,38,17,18.41932981,6.474,maize
94,54,17,23.39128187,5.872,maize
95,38,22,19.84939404,5.731,maize
84,44,21,21.869274,5.85,maize
77,58,19,22.8056033,5.792,maize
66,44,20,19.0781471,6.74,maize
63,35,16,22.02720976,6.272,maize
79,45,20,23.80546189,5.715,maize
72,60,25,18.52510753,5.773,maize
67,51,24,23.50297882,5.584,maize
86,36,24,26.54986394,5.787,maize
76,48,18,19.29563411,5.776,maize
75,53,18,20.68899915,6.865,maize
81,45,23,19.32666088,6.192,maize
73,45,21,24.60532218,6.637,maize
71,35,24,22.27373646,5.826,maize
96,54,22,25.70196694,6.96,maize
99,39,18,19.20129357,6.113,maize
62,48,20,21.70181447,6.708,maize
86,37,16,20.51716779,5.562,maize
94,50,19,23.30355338,5.873,maize
76,39,24,24.2547451,6.996,maize
77,52,17,24.86374934,5.715,maize
74,39,23,22.6265115,6.781,maize
81,49,20,18.04185513,5.514,maize
63,42,21,23.26237612,5.798,maize
99,38,21,22.88330922,6.352,maize
90,52,25,25.97482359,6.823,maize
68,40,19,26.14384005,6.655,maize
60,57,24,18.66116213,6.121,maize
71,52,18,25.10787449,5.791,maize
61,59,17,23.33844615,6.474,maize
88,38,15,25.08239719,6.455,maize
65,60,22,25.36768364,6.607,maize
78,37,22,25.34217103,6.331,maize
78,58,15,25.00933355,6.529,maize
92,60,23,18.66746724,5.722,maize
79,59,17,20.37999665,6.644,maize
91,55,15,18.09300227,6.377,maize
76,51,18,26.16985907,6.247,maize
87,48,25,18.65396672,6.657,maize
71,60,22,26.07470121,6.205,maize
90,57,24,18.92851916,6.159,maize
67,35,22,23.30546753,6.386,maize
60,54,19,18.74826712,6.418,maize
83,58,23,19.74213321,6.381,maize
83,57,19,25.73044432,6.878,maize
40,72,77,17.02498456,7.486,chickpea
23,72,84,19.02061277,6.92,chickpea
39,58,85,17.88776475,5.997,chickpea
22,72,85,18.86805647,6.391,chickpea
36,67,77,18.36952567,7.153,chickpea
32,73,81,20.45078582,5.989,chickpea
58,70,84,20.6543203,6.231,chickpea
59,70,84,17.3348681,7.551,chickpea
42,62,75,18.17912258,7.011,chickpea
28,74,81,18.01272266,8.754,chickpea
58,66,79,20.99373558,8.718,chickpea
43,66,79,19.46233971,7.977,chickpea
58,63,81,19.81344531,6.515,chickpea
23,62,85,18.97424756,8.49,chickpea
27,62,77,18.19737048,6.576,chickpea
28,72,84,18.72963144,6.482,chickpea
50,56,76,20.99502153,7.967,chickpea
39,71,84,20.28155898,8.141,chickpea
25,78,76,17.48042641,7.229,chickpea
31,70,77,20.88818675,6.493,chickpea
26,80,83,17.08498521,7.529,chickpea
25,68,77,20.09340593,7.701,chickpea
31,78,76,17.57212145,8.52,chickpea
60,68,83,19.12065218,6.621,chickpea
59,62,83,18.57665902,8.104,chickpea
22,67,78,17.16606398,6.204,chickpea
36,65,80,18.2872007,6.051,chickpea
59,60,84,19.03025305,7.691,chickpea
54,77,85,17.141861399999996,7.829,chickpea
43,68,81,17.47809436,6.762,chickpea
28,76,82,20.56601874,6.654,chickpea
42,79,85,17.22385224,6.13,chickpea
32,60,83,19.69141713,8.829,chickpea
22,78,76,17.84851658,8.622,chickpea
31,79,75,18.8202251,8.205,chickpea
28,58,81,17.47500984,6.18,chickpea
57,58,77,18.72649425,7.979,chickpea
49,55,78,18.65580107,7.863,chickpea
46,76,77,18.2356751,6.968,chickpea
54,61,77,18.81198127,6.207,chickpea
38,60,76,18.65054116,8.869,chickpea
59,55,79,20.36720401,8.766,chickpea
36,76,75,18.38120357,8.736,chickpea
57,68,81,17.17012591,8.081,chickpea
35,66,81,19.37101121,6.138,chickpea
35,64,78,17.92845928,7.497,chickpea
52,60,79,19.45339934,8.38,chickpea
27,76,83,19.12829388,6.29,chickpea
57,60,84,19.1034283,6.587,chickpea
52,68,78,17.48504075,6.897,chickpea
43,79,79,19.40751744,7.807,chickpea
44,74,85,20.18649426,7.151,chickpea
24,55,78,17.30287885,6.649,chickpea
29,77,75,17.50361137,7.779,chickpea
20,60,78,18.17234999,6.359,chickpea
56,67,78,17.57445618,8.255,chickpea
37,66,85,20.93175255,6.456,chickpea
49,71,76,19.71098332,6.613,chickpea
59,69,80,19.07937684,8.165,chickpea
20,79,77,18.54988627,7.649,chickpea
24,56,85,18.19903647,6.546,chickpea
51,72,75,18.88852533,7.104,chickpea
57,73,85,18.49311205,7.358,chickpea
22,64,82,19.48974337,6.474,chickpea
52,73,79,17.25769499,7.84,chickpea
